Emoji,ASCII Code,Hex Color,Normalized Color
🥶,129398,#9bc2ea,#7fafe4
⌚,8986,#9c9c9b,#807d80
🗃,128451,#9d9994,#827977
🎛,127899,#9da1a4,#82848b
☎,9742,#9e9e9e,#838083
🏬,127980,#9ea2a9,#838591
🆙,127385,#9eb4c7,#839cb7
🟤,128996,#9f7b62,#845237
🐊,128010,#9fb29f,#849a85
🔠,128288,#9fb4c7,#849cb7
🧌,129484,#a09e93,#858075
🎬,127916,#a0a0a0,#858286
📬,128236,#a0a8b2,#858d9d
🧵,129525,#a0b4b9,#859ca6
🔽,128317,#a0b5c8,#859eb9
🪨,129704,#a1a19e,#878483
◾,9726,#a1a1a1,#878487
🪬,129708,#a1adc4,#8793b4
🔼,128316,#a1b6c9,#879fba
🎹,127929,#a2a2a2,#888589
🚟,128671,#a2a69d,#888a82
🔀,128256,#a2b6c9,#889fba
⏩,9193,#a2b7c9,#88a0ba
📗,128215,#a2bb7f,#88a65c
🩱,129649,#a2d0d2,#88c1c5
👾,128126,#a399ad,#897996
🐜,128028,#a39c9b,#897d80
📓,128211,#a3a3a3,#89868a
📹,128249,#a3a5a7,#89898f
🧟,129503,#a3a8a2,#898d89
⏫,9195,#a3b7ca,#89a0bb
🛻,128763,#a3b8ba,#89a2a7
🧮,129518,#a46048,#8a2f16
📸,128248,#a49988,#8a7968
💾,128190,#a4a7aa,#8a8b93
🚉,128649,#a4aaab,#8a8f94
🚊,128650,#a4afb0,#8a969a
🔁,128257,#a4b8ca,#8aa2bb
📶,128246,#a4b8cb,#8aa2bd
🩵,129653,#a4e0f4,#8ad6f1
☯,9775,#a5a5a5,#8c898c
🖨,128424,#a5a7a8,#8c8b90
🛰,128752,#a5aab7,#8c8fa3
🔂,128258,#a5b8ca,#8ca2bb
🔄,128260,#a5b9cb,#8ca3bd
💼,128188,#a69286,#8d7065
🏯,127983,#a6a3a6,#8d868e
🫒,129746,#a6a775,#8d8b4f
🚍,128653,#a6aba4,#8d918b
🚻,128699,#a6bacb,#8da4bd
🍀,127808,#a6db83,#8dcf61
🌰,127792,#a7735f,#8e4734
🐝,128029,#a79d70,#8e7e49
🪙,129689,#a7aaac,#8e8f95
🍳,127859,#a8a59c,#908981
🔜,128284,#a8a8a8,#908d90
📱,128241,#a8a9a8,#908e90
🪖,129686,#a8afa3,#90968a
😈,128520,#a96fb5,#9142a1
🧺,129530,#a99b8d,#917c6e
💂,128130,#a9a497,#91887b
👿,128127,#aa70b6,#9244a2
🎇,127879,#aa8469,#925e40
🤿,129343,#aa9e90,#928072
🦨,129448,#aaa9a5,#928e8c
🔙,128281,#aaaaaa,#928f93
🏢,127970,#aab3b7,#929ba3
👔,128084,#aac0d5,#92acc9
💦,128166,#aadef6,#92d3f3
🌄,127748,#ab9090,#936d72
🦃,129411,#ab928d,#93706e
🦍,129421,#abaaaa,#938f93
🔊,128266,#abb5b8,#939ea4
🪲,129714,#abbb7d,#93a65a
🔋,128267,#abc89c,#93b781
🥘,129368,#ac906c,#956d44
🦬,129452,#aca29d,#958582
🛺,128762,#acbb8d,#95a66e
🫐,129744,#acbdd8,#95a8cd
📊,128202,#acc1c3,#95adb2
👗,128087,#ace4df,#95dbd6
🪢,129698,#ad8c9f,#966885
🐻,128059,#ad947d,#96735a
🦇,129415,#ada29b,#968580
🌗,127767,#ada47e,#96885b
🥾,129406,#ada59d,#968982
🌓,127763,#ada781,#968b5f
▶,9654,#adadad,#969396
🔰,128304,#adc48e,#96b16f
🌲,127794,#adc4af,#96b199
🐸,128056,#adc694,#96b477
🧢,129506,#adc9f5,#96b8f2
🍘,127832,#ae9767,#97773e
🐗,128023,#aea39c,#978681
🦟,129439,#aea49a,#97887e
🐃,128003,#aeaaaa,#978f93
🔛,128283,#aeaeae,#979598
🥗,129367,#aeb588,#979e68
🔘,128280,#afafaf,#999699
🫂,129730,#afc3d3,#99b0c7
🍏,127823,#afce86,#99be65
🏰,127984,#b0a7a2,#9a8b89
🦅,129413,#b0aca9,#9a9291
👣,128099,#b0b0b0,#9a979a
🚆,128646,#b0bdca,#9aa8bb
👕,128085,#b0cce6,#9abcdf
🔹,128313,#b0ceea,#9abee4
🛖,128726,#b1a89c,#9b8d81
💽,128189,#b1ac98,#9b927c
🏁,127937,#b1b1b1,#9b999c
🎦,127910,#b1c2d1,#9bafc4
👥,128101,#b1c6d6,#9bb4ca
🍱,127857,#b28c71,#9c684a
🧛,129499,#b29e83,#9c8061
🦣,129443,#b2a193,#9c8475
🚵,128693,#b2ab9d,#9c9182
⬅,11013,#b2b2b2,#9c9a9d
🚓,128659,#b2b8b9,#9ca2a6
🍩,127849,#b39784,#9e7762
🚜,128668,#b3af87,#9e9666
⬇,11015,#b3b3b3,#9e9b9e
🛝,128733,#b3bfdb,#9eabd1
🤖,129302,#b3c6c7,#9eb4b7
🐿,128063,#b4997a,#9f7956
🐨,128040,#b4a9a6,#9f8e8e
🐧,128039,#b4ada4,#9f938b
🚠,128672,#b4b2b4,#9f9a9f
🚌,128652,#b4b393,#9f9b75
🔏,128271,#b4b5ac,#9f9e95
🗑,128465,#b4b9bd,#9fa3ab
🚐,128656,#b4bdbc,#9fa8aa
🖼,128444,#b4c071,#9fac4a
🏾,127998,#b59782,#a07760
🔌,128268,#b5b4b1,#a09c9c
🪦,129702,#b5b5b3,#a09e9e
👽,128125,#b5bebf,#a0aaad
👖,128086,#b5bed7,#a0aacc
🏪,127978,#b5c2bd,#a0afab
🛣,128739,#b5c3ab,#a0b094
🤢,129314,#b5c766,#a0b53c
🚿,128703,#b5cdcf,#a0bdc2
🥒,129362,#b5d09d,#a0c182
🧩,129513,#b5d4a9,#a0c691
🩲,129650,#b5d6b4,#a0c99f
🐬,128044,#b5dde7,#a0d2e0
🛐,128720,#b671c9,#a145ba
🤎,129294,#b6967f,#a1755c
🪵,129717,#b6a395,#a18678
🦫,129451,#b6a495,#a18878
🎭,127917,#b6a7a2,#a18b89
🦦,129446,#b6aca2,#a19289
🚴,128692,#b6b1a5,#a1998c
⬆,11014,#b6b6b6,#a19fa2
🛤,128740,#b6b7a3,#a1a08a
📚,128218,#b6b7a7,#a1a08f
🪮,129710,#b6b7b7,#a1a0a3
💺,128186,#b6bbc9,#a1a6ba
🚞,128670,#b6bda5,#a1a88c
🧊,129482,#b6d5e8,#a1c8e1
🌿,127807,#b6d69f,#a1c985
🥌,129356,#b79798,#a3777c
🚖,128662,#b7af95,#a39678
♥,9829,#b7b7b7,#a3a0a3
🛠,128736,#b7b8ba,#a3a2a7
💤,128164,#b7cbea,#a3bbe4
🧼,129532,#b7e6d2,#a3dec5
🏘,127960,#b8a69f,#a48a85
◼,9724,#b8b8b8,#a4a2a4
🔉,128265,#b8bdbf,#a4a8ad
🚺,128698,#b977cc,#a54dbe
👹,128121,#b9796f,#a54f48
🎴,127924,#b9a19e,#a58483
🩶,129654,#b9b9b9,#a5a3a6
📂,128194,#b9c0c6,#a5acb6
🛼,128764,#b9cfd0,#a5c0c3
🦕,129429,#b9d1d8,#a5c2cd
💠,128160,#b9daed,#a5cee8
♈,9800,#ba78cc,#a74ebe
♉,9801,#ba79cc,#a74fbe
📵,128245,#ba897f,#a7645c
🚥,128677,#bab7ae,#a7a098
🪻,129723,#bab9ce,#a7a3c0
🐺,128058,#bababa,#a7a4a7
🔈,128264,#babbbd,#a7a6ab
🎚,127898,#babcbd,#a7a7ab
🌐,127760,#badfec,#a7d5e6
♓,9811,#bb7acd,#a851bf
♋,9803,#bb7ccd,#a853bf
🧱,129521,#bb8777,#a86252
🐞,128030,#bba094,#a88277
🧕,129493,#bbadaf,#a89399
📻,128251,#bbb097,#a8977b
🦓,129427,#bbb9b7,#a8a3a3
🗿,128511,#bbbbb6,#a8a6a2
⏭,9197,#bbbbbb,#a8a6a8
🏍,127949,#bbbdbd,#a8a8ab
📁,128193,#bbc1c6,#a8adb6
🗣,128483,#bbcad8,#a8b9cd
🌵,127797,#bbd5a8,#a8c890
💎,128142,#bbe0fa,#a8d6f8
♏,9807,#bc7dcd,#a955bf
🔯,128303,#bc7ecd,#a956bf
🪗,129687,#bc9a9f,#a97a85
🏥,127973,#bcb2b1,#a99a9c
🌽,127805,#bcba6e,#a9a447
📇,128199,#bcbab5,#a9a4a1
🗳,128499,#bcd6da,#a9c9d0
🧃,129475,#bcd8c4,#a9ccb4
🟣,128995,#bd66f4,#aa36f1
♊,9802,#bd7ece,#aa56c0
♌,9804,#bd7fce,#aa57c0
♎,9806,#bd80ce,#aa58c0
🚳,128691,#bd887b,#aa6357
🦧,129447,#bd8d76,#aa6951
📆,128198,#bda7a7,#aa8b8f
🧬,129516,#bdbadf,#aaa4d6
🛒,128722,#bdbbbc,#aaa6aa
⏏,9167,#bdbdbd,#aaa8ab
🎵,127925,#bdbec0,#aaaaaf
🪩,129705,#bdbfc1,#aaabb0
🚋,128651,#bdc1ba,#aaada7
👤,128100,#bdcedc,#aabed2
🚘,128664,#be9092,#ac6d74
📦,128230,#bea389,#ac8669
🎎,127886,#beb0b5,#ac97a1
🍵,127861,#bebfb4,#acab9f
🐘,128024,#bebfbd,#acabab
🐦,128038,#becacb,#acb9bd
🦖,129430,#becda3,#acbd8a
🐟,128031,#becedd,#acbed3
🌴,127796,#bed0a7,#acc18f
🎿,127935,#bed0c7,#acc1b7
🩴,129652,#bed8d6,#acccca
♍,9805,#bf83cf,#ad5cc2
🕎,128334,#bf85cf,#ad5fc2
🦹,129465,#bf9f78,#ad8153
🥙,129369,#bfb595,#ad9e78
👁,128065,#bfb5ae,#ad9e98
⛰,9968,#bfbfbf,#adabad
🎙,127897,#bfc1c4,#adadb4
🏦,127974,#bfc2ad,#adaf96
🪁,129665,#bfc6e0,#adb4d7
💧,128167,#bfe6f8,#addef6
🚂,128642,#c0a7a1,#ae8b87
🕹,128377,#c0abad,#ae9196
🦪,129450,#c0b8ad,#aea296
🎳,127923,#c0bbb9,#aea6a6
🚦,128678,#c0bdb4,#aea89f
⏹,9209,#c0c0c0,#aeacaf
🐲,128050,#c0c781,#aeb55f
🛋,128715,#c0d2e5,#aec4de
⛎,9934,#c187d1,#af62c4
🛢,128738,#c19696,#af7579
🕰,128368,#c1aea0,#af9586
🚧,128679,#c1b281,#af9a5f
🧗,129495,#c1b4a4,#af9c8b
🕵,128373,#c1b69a,#af9f7e
🐀,128000,#c1bdb8,#afa8a4
⏯,9199,#c1c1c1,#afadb0
📥,128229,#c1c8db,#afb7d1
📤,128228,#c1c9dc,#afb8d2
🛶,128758,#c1cab6,#afb9a2
🚭,128685,#c28e81,#b16b5f
🔇,128263,#c2a5a6,#b1898e
🏟,127967,#c2ada3,#b1938a
🧙,129497,#c2bca2,#b1a789
👮,128110,#c2bea6,#b1aa8e
🐎,128014,#c2c0b4,#b1ac9f
✒,10002,#c2c2c2,#b1afb1
🏡,127969,#c2c3a6,#b1b08e
🐢,128034,#c2cfb7,#b1c0a3
🔫,128299,#c2edb6,#b1e7a2
🚷,128695,#c38b7d,#b2675a
🥭,129389,#c3b074,#b2974e
🧉,129481,#c3b2aa,#b29a93
🏤,127972,#c3b6a4,#b29f8b
🏂,127938,#c3bdbb,#b2a8a8
🏛,127963,#c3beaf,#b2aa99
💴,128180,#c3c2b7,#b2afa3
🎤,127908,#c3c4c4,#b2b1b4
🥝,129373,#c3c686,#b2b465
🚱,128689,#c48d80,#b3695d
🫘,129752,#c4a09e,#b38283
🎉,127881,#c4a99c,#b38e81
🪹,129721,#c4b0a2,#b39789
🥀,129344,#c4b1a7,#b3998f
🧆,129478,#c4bbad,#b3a696
🍙,127833,#c4c3bc,#b3b0aa
🦏,129423,#c4c3c1,#b3b0b0
⛈,9928,#c4c4c4,#b3b1b4
☔,9748,#c4c6ef,#b3b4ea
🐉,128009,#c4d1aa,#b3c293
🎄,127876,#c4d2bc,#b3c4aa
📕,128213,#c57b79,#b55255
💟,128159,#c590d4,#b56dc8
🚯,128687,#c59287,#b57066
🪯,129711,#c594d0,#b573c3
🚪,128682,#c5a796,#b58b79
📅,128197,#c5abaa,#b59193
📜,128220,#c5ac92,#b59274
💐,128144,#c5b188,#b59968
🎞,127902,#c5b7a0,#b5a086
🥥,129381,#c5b7a5,#b5a08c
🦔,129428,#c5b8ac,#b5a295
🪺,129722,#c5beb3,#b5aa9e
😰,128560,#c5c1a7,#b5ad8f
☂,9730,#c5c5c5,#b5b3b5
🦈,129416,#c5cdce,#b5bdc0
💶,128182,#c5d5c9,#b5c8ba
🍇,127815,#c68ba0,#b66786
👞,128094,#c6aba2,#b69189
🍆,127814,#c6b6c1,#b69fb0
😹,128569,#c6c096,#b6ac79
🪴,129716,#c6c5a3,#b6b38a
🛹,128761,#c6c6bb,#b6b4a8
➡,10145,#c6c6c6,#b6b4b6
🎶,127926,#c6c8ca,#b6b7bb
🚲,128690,#c6cbd1,#b6bbc4
🚃,128643,#c6ccad,#b6bc96
📖,128214,#c6cfd6,#b6c0ca
🎰,127920,#c7b2ab,#b79a94
🫎,129742,#c7b3a7,#b79b8f
🦉,129417,#c7bab0,#b7a49a
🚑,128657,#c7bbbf,#b7a6ad
🚕,128661,#c7c099,#b7ac7d
🫏,129743,#c7c6c5,#b7b4b5
🎲,127922,#c7c6c6,#b7b4b6
🕷,128375,#c7c6c7,#b7b4b7
✔,10004,#c7c7c7,#b7b5b7
🗜,128476,#c7cccf,#b7bcc2
🥣,129379,#c7d7eb,#b7cae5
🟪,129002,#c85dff,#b82bff
🔮,128302,#c89fc7,#b881b7
🏭,127981,#c8ad9f,#b89385
🐌,128012,#c8b29c,#b89a81
🪰,129712,#c8b29e,#b89a83
🙆,128582,#c8b890,#b8a272
🐴,128052,#c8bfac,#b8ab95
🛌,128716,#c8c0bf,#b8acad
🏋,127947,#c8c1ad,#b8ad96
🦝,129437,#c8c4bd,#b8b1ab
♨,9832,#c8c8c8,#b8b7b9
🩺,129658,#c8c8c9,#b8b7ba
🔦,128294,#c8caca,#b8b9bb
🌪,127786,#c8cad1,#b8b9c4
🎣,127907,#c8d0d8,#b8c1cd
👒,128082,#c8d1a6,#b8c28e
🚒,128658,#c97c7c,#ba5358
🧶,129526,#c9805a,#ba582d
🔞,128286,#c99588,#ba7468
🌆,127750,#c99873,#ba784d
🦡,129441,#c9c7c4,#bab5b4
⚰,9904,#c9c9c9,#bab8ba
🦺,129466,#ca946d,#bb7345
🛎,128718,#cab88b,#bba26b
🏚,127962,#cab9a5,#bba38c
🦗,129431,#cac0b5,#bbaca1
🏇,127943,#cac3be,#bbb0ac
🧞,129502,#cac6d5,#bbb4c9
🦆,129414,#cac8c3,#bbb7b2
🦛,129435,#cacac9,#bbb9ba
☹,9785,#cacaca,#bbb9bb
🚅,128645,#caced1,#bbbec4
🏽,127997,#cbaf9a,#bc967e
🏠,127968,#cbb8ab,#bca294
📣,128227,#cbbb8e,#bca66f
🏕,127957,#cbbda7,#bca88f
🪐,129680,#cbc5ac,#bcb395
☕,9749,#cbc8c3,#bcb7b2
♦,9830,#cbcbcb,#bcbbbd
🧷,129527,#cbcfd3,#bcc0c7
🫛,129755,#cbd6c0,#bcc9af
🐠,128032,#cbddbe,#bcd2ac
🧪,129514,#cbe4d0,#bcdbc3
🥔,129364,#ccaf8c,#bd966d
🎡,127905,#ccb0b6,#bd97a2
🕍,128333,#ccb59a,#bd9e7e
🚀,128640,#ccb5ae,#bd9e98
😨,128552,#ccbf9d,#bdab82
🌂,127746,#ccc2d9,#bdafce
🪶,129718,#ccc6be,#bdb4ac
💳,128179,#ccc9b4,#bdb89f
🐄,128004,#ccc9c7,#bdb8b7
☀,9728,#cccccc,#bdbcbe
🥽,129405,#cccece,#bdbec0
📡,128225,#ccced0,#bdbec3
🍽,127869,#ccced1,#bdbec4
⛄,9924,#cccfd0,#bdc0c3
🚄,128644,#ccd1d4,#bdc2c8
🌊,127754,#ccdde6,#bdd2df
🏈,127944,#cd9a81,#bf7a5f
🫕,129749,#cda9a4,#bf8e8b
🤠,129312,#cdb481,#bf9c5f
🔔,128276,#cdbc8b,#bfa76b
💷,128183,#cdbfc1,#bfabb0
🪟,129695,#cdc1be,#bfadac
🎋,127883,#cdc8ab,#bfb794
📠,128224,#cdcac5,#bfb9b5
➕,10133,#cdcdcd,#bfbdbf
🦜,129436,#cdd0ab,#bfc194
📨,128232,#cdd3d9,#bfc5ce
📉,128201,#cdd9e7,#bfcde0
👜,128092,#ceb4a3,#c09c8a
🙉,128585,#ceb89b,#c0a280
🐒,128018,#cebba3,#c0a68a
🎏,127887,#cec0b3,#c0ac9e
🪇,129671,#cec2a6,#c0af8e
🧜,129500,#cec3ba,#c0b0a7
🤮,129326,#cec973,#c0b84d
🧭,129517,#cecbce,#c0bbc0
®,174,#cecece,#c0bec0
🌁,127745,#ced6de,#c0c9d5
🥮,129390,#cf8c5a,#c1682d
⛽,9981,#cf9497,#c1737b
👅,128069,#cf9ca5,#c17d8c
🥜,129372,#cfb388,#c19b68
🥸,129400,#cfb476,#c19c51
👬,128108,#cfba9f,#c1a485
🛟,128735,#cfbab1,#c1a49c
💩,128169,#cfbdb1,#c1a89c
🤹,129337,#cfc7ac,#c1b595
🐭,128045,#cfc9ce,#c1b8c0
🗞,128478,#cfcece,#c1bec0
🍐,127824,#cfd094,#c1c177
📢,128226,#cfd0d1,#c1c1c4
👓,128083,#cfd3d1,#c1c5c4
🛩,128745,#cfd3d7,#c1c5cc
🔕,128277,#d0a47e,#c3885b
💃,128131,#d0a995,#c38e78
🐵,128053,#d0ba9f,#c3a485
🎻,127931,#d0bdad,#c3a896
😱,128561,#d0c1a5,#c3ad8c
👻,128123,#d0cbce,#c3bbc0
🚡,128673,#d0cebe,#c3beac
🍭,127853,#d0cec1,#c3beb0
🦽,129469,#d0d0d0,#c3c1c3
🐍,128013,#d0d7b8,#c3caa4
🐋,128011,#d0dfe5,#c3d5de
💜,128156,#d190f7,#c46df4
🐙,128025,#d1919b,#c46f80
🚚,128666,#d1a47c,#c48858
🍪,127850,#d1b18b,#c4996b
🧯,129519,#d1b8b7,#c4a2a3
🐂,128002,#d1beb1,#c4aa9c
🛏,128719,#d1c8c7,#c4b7b7
🥑,129361,#d1cb9a,#c4bb7e
🐛,128027,#d1d0b1,#c4c19c
☸,9784,#d1d1d1,#c4c2c4
🖊,128394,#d1d2d4,#c4c4c8
🎢,127906,#d1d4ba,#c4c6a7
🛸,128760,#d1d8d9,#c4ccce
🍃,127811,#d1dfbf,#c4d5ad
🧚,129498,#d1e4c8,#c4dbb9
🧰,129520,#d28886,#c56365
🥃,129347,#d2b89d,#c5a282
🌈,127752,#d2b8a6,#c5a28e
🧸,129528,#d2b996,#c5a379
🏺,127994,#d2baab,#c5a494
💸,128184,#d2cfbf,#c5c0ad
🪅,129669,#d2d0c3,#c5c1b2
⏸,9208,#d2d2d2,#c5c4c5
🔩,128297,#d2d3d6,#c5c5ca
🔬,128300,#d2d6d8,#c5c9cd
⛲,9970,#d2dedf,#c5d3d6
👺,128122,#d3958f,#c67470
🤬,129324,#d3a178,#c68453
🍒,127826,#d3a9a0,#c68e86
🛷,128759,#d3a9a8,#c68e90
🪔,129684,#d3afa4,#c6968b
🪤,129700,#d3ba9c,#c6a481
🌯,127791,#d3ccc3,#c6bcb2
🪷,129719,#d3cec0,#c6beaf
©,169,#d3d3d3,#c6c5c7
🍲,127858,#d3d4cb,#c6c6bd
🖌,128396,#d3d4e0,#c6c6d7
🫃,129731,#d3d6d1,#c6c9c4
🦎,129422,#d3e2cf,#c6d9c2
🪭,129709,#d48991,#c86473
🎁,127873,#d48b5d,#c86731
🚢,128674,#d4bfbb,#c8aba8
😇,128519,#d4c187,#c8ad66
👯,128111,#d4c29a,#c8af7e
🌋,127755,#d4c5b9,#c8b3a6
🌔,127764,#d4c77b,#c8b557
🐚,128026,#d4cdcd,#c8bdbf
🦼,129468,#d4d0d0,#c8c1c3
🐏,128015,#d4d1ca,#c8c2bb
✂,9986,#d4d4d4,#c8c6c8
🔨,128296,#d4d4d5,#c8c6c9
💨,128168,#d4dfeb,#c8d5e5
🧨,129512,#d5857e,#c95f5b
👠,128096,#d5a8a3,#c98d8a
📙,128217,#d5a968,#c98e3f
🦂,129410,#d5bda1,#c9a887
👪,128106,#d5be87,#c9aa66
📿,128255,#d5c1c2,#c9adb1
🕺,128378,#d5c3cc,#c9b0be
🐯,128047,#d5c783,#c9b561
🎠,127904,#d5ccc2,#c9bcb1
🐐,128016,#d5cdc4,#c9bdb4
💵,128181,#d5cfb5,#c9c0a1
🧻,129531,#d5d3cd,#c9c5bf
☘,9752,#d5d5d5,#c9c8c9
🖋,128395,#d5d6d7,#c9c9cc
🔗,128279,#d5d6d9,#c9c9ce
🛥,128741,#d5dcdf,#c9d1d6
🛬,128748,#d5dde7,#c9d2e0
🎾,127934,#d5e370,#c9da49
🌹,127801,#d68d89,#ca6969
🏀,127936,#d6966f,#ca7548
🦑,129425,#d69a8f,#ca7a70
🍓,127827,#d69c91,#ca7d73
🚗,128663,#d6a09f,#ca8285
🌅,127749,#d6aa86,#ca8f65
🏨,127976,#d6b9a9,#caa391
😎,128526,#d6ba79,#caa455
🧫,129515,#d6becb,#caaabd
🙈,128584,#d6c0a8,#caac90
🙊,128586,#d6c1a8,#caad90
😿,128575,#d6c68f,#cab470
🤱,129329,#d6c8ab,#cab794
🔐,128272,#d6c99e,#cab883
🍋,127819,#d6ca80,#cab95d
🧦,129510,#d6cec4,#cabeb4
🛳,128755,#d6cfd1,#cac0c4
🪪,129706,#d6d2ca,#cac4bb
🦭,129453,#d6d5d4,#cac8c8
⚓,9875,#d6d6d8,#cac9cd
🥿,129407,#d6dce4,#cad1dc
🍔,127828,#d7a976,#cc8e51
🏩,127977,#d7adbe,#cc93ac
🪂,129666,#d7b7a4,#cca08b
🥉,129353,#d7b9aa,#cca393
🥠,129376,#d7bf98,#ccab7c
👫,128107,#d7bf9c,#ccab81
😸,128568,#d7c087,#ccac66
🎨,127912,#d7c097,#ccac7b
🐕,128021,#d7c1ab,#ccad94
🀄,126980,#d7c2b5,#ccafa1
🙇,128583,#d7c7a1,#ccb587
🌖,127766,#d7c876,#ccb751
🏣,127971,#d7c8ba,#ccb7a7
🛵,128757,#d7caab,#ccb994
⏳,9203,#d7d0ca,#ccc1bb
🗝,128477,#d7d6d6,#ccc9ca
⁉,8265,#d7d7d7,#cccacc
🫖,129750,#d7dadd,#ccced3
🏔,127956,#d7dbd6,#cccfca
🍅,127813,#d88a6c,#cd6644
😺,128570,#d8c189,#cdad69
🌻,127803,#d8c272,#cdaf4c
🪘,129688,#d8cabb,#cdb9a8
💈,128136,#d8cadc,#cdb9d2
🚏,128655,#d8d6d9,#cdc9ce
⏱,9201,#d8d8d8,#cdcccd
🔍,128269,#d8d9db,#cdcdd1
💀,128128,#d8dadb,#cdced1
🛴,128756,#d8dadc,#cdced2
🖇,128391,#d8dadd,#cdced3
🏝,127965,#d8dfc0,#cdd5af
🌺,127802,#d97581,#ce4a5f
🦀,129408,#d9927f,#ce705c
🦊,129418,#d9a16d,#ce8445
🦁,129409,#d9ab66,#ce913c
🤼,129340,#d9bf92,#ceab74
😾,128574,#d9c184,#cead62
🙀,128576,#d9c38c,#ceb06d
🌮,127790,#d9c58d,#ceb36e
🪑,129681,#d9c5bb,#ceb3a8
🦤,129444,#d9c6b5,#ceb4a1
🚸,128696,#d9c87f,#ceb75c
🐶,128054,#d9cab7,#ceb9a3
💰,128176,#d9cbae,#cebb98
👑,128081,#d9cc95,#cebc78
⚾,9918,#d9ceca,#cebebb
📀,128192,#d9d0b1,#cec19c
🥡,129377,#d9d5d6,#cec8ca
🚬,128684,#d9d7d5,#cecac9
🐑,128017,#d9d8d2,#ceccc5
🍚,127834,#d9d8d5,#ceccc9
📃,128195,#d9d8d8,#cecccd
💿,128191,#d9d9d7,#cecdcc
